seller_id,seller_registration_dt,seller_first_sale_dt,seller_main_category,seller_region_cluster,seller_size_bucket,fulfillment_model,seller_manager_region,seller_onboarding_channel,seller_has_logo_flag
100001,2024-07-15,2024-08-16,Дом,Санкт-Петербург,micro,mixed,north,offline_event,1
100002,2025-12-15,2026-01-11,Спорт,Юг,medium,mixed,center,referral,1
100003,2025-03-06,2025-03-28,Обувь,Центр,small,FBO,east,partner,1
100004,2024-02-20,2024-04-04,Электроника,Урал,small,FBO,center,organic,1
100005,2024-03-12,2024-04-24,Детские товары,Урал,micro,FBO,south,organic,1
100006,2024-09-03,2024-09-09,Аксессуары,Юг,small,FBS,west,organic,1
100007,2023-10-02,2023-10-11,Дом,Урал,micro,mixed,west,partner,0
100008,2023-12-30,2024-01-20,Дом,Поволжье,micro,FBO,west,organic,1
100009,2025-09-21,2025-10-25,Обувь,Урал,micro,FBO,west,organic,0
100010,2025-12-21,2026-01-10,Аксессуары,Центр,micro,FBS,center,organic,1
100011,2025-03-24,2025-04-04,Одежда,Сибирь,small,FBS,center,referral,1
100012,2025-09-04,2025-09-21,Одежда,Сибирь,small,FBO,east,organic,0
100013,2023-11-08,2023-11-24,Красота,Урал,medium,FBS,south,partner,1
100014,2024-10-13,2024-12-15,Красота,Москва и МО,large,FBS,east,offline_event,1
100015,2024-12-25,2025-01-08,Аксессуары,Центр,small,FBS,center,organic,1
100016,2025-03-11,2025-03-25,Одежда,Поволжье,micro,mixed,north,organic,1
100017,2026-01-22,2026-03-06,Детские товары,Москва и МО,medium,FBS,south,offline_event,1
100018,2023-08-19,2023-10-21,Одежда,Центр,micro,FBS,east,referral,1
100019,2025-04-17,2025-04-21,Одежда,Юг,micro,mixed,south,organic,1
100020,2025-04-24,2025-05-16,Канцелярия,Поволжье,micro,FBS,south,ads,0
100021,2024-07-20,2024-08-14,Дом,Центр,large,mixed,center,organic,0
100022,2024-01-18,2024-02-19,Электроника,Поволжье,medium,FBS,east,ads,1
100023,2026-02-07,2026-03-10,Товары для животных,Сибирь,small,FBO,east,ads,1
100024,2024-09-14,2024-09-21,Дом,Урал,micro,mixed,south,referral,0
100025,2024-04-09,2024-05-10,Дом,Сибирь,micro,FBO,east,organic,0
100026,2025-03-13,2025-03-30,Электроника,Центр,small,FBS,center,referral,0
100027,2025-04-23,2025-06-17,Одежда,Дальний Восток,small,mixed,east,referral,1
100028,2025-04-08,2025-05-16,Товары для животных,Сибирь,micro,FBO,west,ads,1
100029,2023-10-05,2023-11-07,Товары для животных,Поволжье,micro,FBO,east,organic,0
100030,2024-08-22,2024-10-19,Спорт,Сибирь,micro,FBS,south,offline_event,1
100031,2023-12-06,2024-01-09,Дом,Юг,micro,FBO,center,organic,0
100032,2023-07-29,2023-09-01,Электроника,Москва и МО,micro,mixed,center,organic,1
100033,2025-08-14,2025-09-09,Электроника,Урал,micro,FBS,south,organic,1
100034,2026-02-04,2026-02-26,Красота,Москва и МО,small,FBS,center,ads,1
100035,2025-01-31,2025-02-23,Одежда,Москва и МО,medium,FBO,north,ads,1
100036,2025-06-07,2025-06-13,Канцелярия,Сибирь,micro,mixed,center,organic,0
100037,2026-01-11,2026-03-12,Спорт,Санкт-Петербург,micro,FBS,north,organic,0
100038,2024-06-11,2024-06-20,Дом,Поволжье,medium,mixed,west,organic,1
100039,2025-09-04,2025-09-23,Детские товары,Центр,micro,mixed,center,organic,1
100040,2025-10-13,2025-11-23,Спорт,Москва и МО,small,FBO,center,partner,0
100041,2024-05-19,2024-06-12,Канцелярия,Центр,micro,mixed,east,organic,1
100042,2024-02-21,2024-03-07,Красота,Поволжье,micro,FBO,east,referral,1
100043,2024-11-15,2025-01-02,Одежда,Юг,micro,FBO,center,partner,0
100044,2024-02-28,2024-03-27,Одежда,Центр,large,FBS,north,organic,1
100045,2025-02-10,2025-02-21,Одежда,Поволжье,medium,FBO,south,organic,1
100046,2026-01-13,2026-02-09,Аксессуары,Дальний Восток,micro,FBO,west,organic,1
100047,2025-01-26,2025-02-10,Дом,Сибирь,micro,FBS,west,referral,0
100048,2025-07-08,2025-07-14,Электроника,Поволжье,micro,FBS,north,offline_event,0
100049,2024-02-17,2024-03-16,Красота,Москва и МО,micro,mixed,south,referral,1
100050,2023-12-17,2023-12-23,Красота,Санкт-Петербург,small,FBS,west,offline_event,0
100051,2023-12-01,2023-12-13,Одежда,Москва и МО,micro,FBS,east,organic,1
100052,2025-01-02,2025-01-31,Электроника,Поволжье,micro,FBO,south,ads,1
100053,2026-02-23,2026-03-04,Обувь,Поволжье,medium,mixed,center,organic,0
100054,2024-02-02,2024-03-31,Одежда,Центр,micro,FBS,south,organic,0
100055,2023-07-25,2023-08-13,Одежда,Урал,small,FBS,center,organic,1
100056,2024-12-29,2025-02-08,Канцелярия,Юг,small,FBO,west,organic,1
100057,2024-02-11,2024-04-25,Электроника,Поволжье,small,mixed,east,organic,0
100058,2025-01-18,2025-02-16,Обувь,Центр,small,FBO,east,organic,1
100059,2024-07-22,2024-08-30,Одежда,Центр,small,FBS,center,organic,0
100060,2025-08-06,2025-09-11,Детские товары,Москва и МО,micro,FBS,north,referral,1
100061,2024-08-05,2024-09-22,Электроника,Урал,micro,FBO,south,referral,1
100062,2025-08-30,2025-09-13,Спорт,Поволжье,small,FBS,east,organic,1
100063,2026-02-26,2026-03-08,Одежда,Дальний Восток,small,FBO,north,organic,0
100064,2025-10-06,2025-12-11,Красота,Санкт-Петербург,micro,FBS,east,organic,1
100065,2024-05-05,2024-05-20,Детские товары,Дальний Восток,small,FBO,east,ads,1
100066,2024-05-28,2024-06-15,Одежда,Поволжье,micro,FBS,north,referral,1
100067,2026-01-23,2026-02-22,Одежда,Сибирь,micro,FBO,north,organic,1
100068,2026-01-26,2026-01-31,Красота,Поволжье,small,FBS,east,referral,0
100069,2024-08-03,2024-09-02,Товары для животных,Москва и МО,medium,FBS,center,ads,0
100070,2023-11-17,2023-12-15,Одежда,Москва и МО,micro,mixed,west,ads,1
100071,2024-10-05,2024-10-24,Одежда,Москва и МО,small,FBO,center,offline_event,0
100072,2024-07-11,2024-07-30,Дом,Сибирь,micro,FBO,west,organic,1
100073,2023-10-07,2023-10-19,Электроника,Урал,micro,mixed,north,offline_event,0
100074,2023-12-24,2024-01-04,Дом,Москва и МО,large,FBS,west,organic,0
100075,2026-03-03,2026-04-18,Одежда,Урал,micro,FBO,center,referral,1
100076,2025-10-23,2025-11-02,Одежда,Санкт-Петербург,large,mixed,north,organic,0
100077,2025-06-21,2025-07-25,Дом,Москва и МО,micro,FBO,west,ads,1
100078,2024-09-20,2024-10-21,Дом,Санкт-Петербург,small,FBS,north,organic,1
100079,2025-09-26,2025-10-03,Спорт,Санкт-Петербург,micro,FBO,center,ads,0
100080,2025-01-25,2025-02-11,Одежда,Центр,medium,mixed,north,organic,0
100081,2024-07-04,2024-07-13,Канцелярия,Поволжье,micro,mixed,west,partner,1
100082,2023-08-25,2023-10-16,Дом,Санкт-Петербург,micro,FBO,east,partner,1
100083,2025-11-25,2025-12-21,Товары для животных,Центр,small,FBS,east,partner,1
100084,2023-10-09,2023-11-01,Аксессуары,Поволжье,medium,FBS,center,partner,0
100085,2023-07-07,2023-08-13,Дом,Урал,small,mixed,south,partner,1
100086,2024-04-16,2024-05-25,Электроника,Центр,small,FBO,north,ads,0
100087,2024-03-16,2024-04-06,Детские товары,Сибирь,micro,FBS,south,ads,1
100088,2025-06-29,2025-07-14,Обувь,Санкт-Петербург,small,FBS,south,referral,1
100089,2023-10-28,2023-11-18,Аксессуары,Поволжье,micro,mixed,north,organic,1
100090,2024-10-08,2024-10-19,Красота,Поволжье,micro,FBS,center,referral,0
100091,2025-10-25,2025-11-10,Электроника,Москва и МО,small,mixed,south,organic,1
100092,2023-12-19,2023-12-27,Канцелярия,Урал,micro,mixed,west,partner,1
100093,2023-09-30,2023-10-12,Канцелярия,Юг,small,FBS,west,partner,1
100094,2024-03-08,2024-06-26,Электроника,Дальний Восток,large,FBS,west,organic,1
100095,2024-05-06,2024-08-07,Красота,Урал,micro,FBO,west,ads,1
100096,2024-01-18,2024-02-11,Спорт,Центр,micro,mixed,south,offline_event,1
100097,2024-01-16,2024-01-26,Электроника,Москва и МО,micro,FBO,south,organic,1
100098,2025-12-07,2025-12-17,Красота,Урал,small,FBO,south,organic,1
100099,2024-12-27,2025-01-18,Красота,Поволжье,micro,FBS,north,offline_event,1
100100,2024-03-11,2024-04-10,Обувь,Москва и МО,small,FBS,north,referral,0
100101,2024-01-11,2024-02-02,Красота,Урал,micro,FBO,south,organic,0
100102,2024-09-12,2024-09-27,Одежда,Санкт-Петербург,small,FBS,north,organic,0
100103,2023-07-12,2023-08-19,Детские товары,Москва и МО,small,FBO,east,organic,0
100104,2026-01-02,2026-01-20,Красота,Центр,medium,FBS,center,organic,0
100105,2024-10-10,2024-11-20,Красота,Москва и МО,small,FBS,north,organic,1
100106,2024-10-10,2024-11-04,Спорт,Сибирь,micro,FBS,west,organic,1
100107,2024-04-10,2024-06-12,Одежда,Поволжье,micro,FBO,west,ads,1
100108,2024-09-06,2024-10-12,Электроника,Урал,micro,FBO,west,organic,1
100109,2025-12-03,2025-12-14,Электроника,Урал,small,FBS,north,ads,1
100110,2025-01-25,2025-02-16,Красота,Центр,medium,FBS,south,partner,1
100111,2025-04-27,2025-05-19,Дом,Поволжье,micro,FBO,east,partner,1
100112,2025-03-27,2025-05-02,Одежда,Поволжье,micro,FBO,west,partner,1
100113,2024-06-07,2024-06-23,Одежда,Урал,medium,FBO,north,referral,1
100114,2025-05-12,2025-07-10,Красота,Москва и МО,micro,FBS,south,organic,1
